Ensembl_ID,Gene_Symbol,PC1_Loading,abs_PC1_Loading
ENSG00000172201,ID4,0.051708186401059356,0.051708186401059356
ENSG00000144857,BOC,0.05089998195900657,0.05089998195900657
ENSG00000106078,COBL,0.05039695032141195,0.05039695032141195
ENSG00000143365,RORC,0.05028543298140479,0.05028543298140479
ENSG00000261609,GAN,0.050009432592516896,0.050009432592516896
ENSG00000163347,CLDN1,0.04980295571626442,0.04980295571626442
ENSG00000073067,CYP2W1,0.04973829098247766,0.04973829098247766
ENSG00000174808,BTC,0.049735785496862084,0.049735785496862084
ENSG00000180354,MTURN,0.04932225832376481,0.04932225832376481
ENSG00000100307,CBX7,0.04930305805199955,0.04930305805199955
ENSG00000255774,LINC02747,0.048997825177215903,0.048997825177215903
ENSG00000196378,ZNF34,0.04882741064875675,0.04882741064875675
ENSG00000113851,CRBN,0.0487775207549607,0.0487775207549607
ENSG00000168490,PHYHIP,0.04873170680066351,0.04873170680066351
ENSG00000126351,THRA,0.04864789079965411,0.04864789079965411
ENSG00000114790,ARHGEF26,0.04804206801482715,0.04804206801482715
ENSG00000185950,IRS2,0.04794120867828285,0.04794120867828285
ENSG00000174136,RGMB,0.04779862019774361,0.04779862019774361
ENSG00000204789,ENSG00000204789,0.047753669114524736,0.047753669114524736
ENSG00000135093,USP30,0.04760590780289077,0.04760590780289077
ENSG00000083750,RRAGB,0.04756628696259243,0.04756628696259243
ENSG00000172164,SNTB1,0.04753134558741668,0.04753134558741668
ENSG00000227051,C14orf132,0.04741930544598507,0.04741930544598507
ENSG00000151502,VPS26B,0.04734363434706251,0.04734363434706251
ENSG00000154928,EPHB1,0.04721456740371398,0.04721456740371398
ENSG00000168216,LMBRD1,0.046953045624192134,0.046953045624192134
ENSG00000134245,WNT2B,0.04694559259900788,0.04694559259900788
ENSG00000259943,ENSG00000259943,0.04694312383891459,0.04694312383891459
ENSG00000158813,EDA,0.04680260099880178,0.04680260099880178
ENSG00000169213,RAB3B,0.04679873769643191,0.04679873769643191
ENSG00000242687,ENSG00000242687,0.046783387335465776,0.046783387335465776
ENSG00000235257,ITGA9-AS1,0.046726864538095866,0.046726864538095866
ENSG00000154359,LONRF1,0.04661312884179736,0.04661312884179736
ENSG00000165312,OTUD1,0.04660732337944634,0.04660732337944634
ENSG00000154767,XPC,0.04643558051064887,0.04643558051064887
ENSG00000158301,GPRASP2,0.04614511825545615,0.04614511825545615
ENSG00000183513,COA5,0.0459800239295969,0.0459800239295969
ENSG00000156284,CLDN8,0.045827519283463236,0.045827519283463236
ENSG00000170876,TMEM43,0.04576559834683152,0.04576559834683152
ENSG00000125124,BBS2,0.045727428470378674,0.045727428470378674
ENSG00000006747,SCIN,0.04562614707638442,0.04562614707638442
ENSG00000161551,ZNF577,0.04549905490142314,0.04549905490142314
ENSG00000104205,SGK3,0.04548132784751888,0.04548132784751888
ENSG00000108799,EZH1,0.045376417062571686,0.045376417062571686
ENSG00000077684,JADE1,0.045281458946265334,0.045281458946265334
ENSG00000166704,ZNF606,0.045213421125897456,0.045213421125897456
ENSG00000155755,TMEM237,0.04512826096611277,0.04512826096611277
ENSG00000132122,SPATA6,0.0450874245636858,0.0450874245636858
ENSG00000152642,GPD1L,0.04508531007035815,0.04508531007035815
ENSG00000111276,CDKN1B,0.04500530815328386,0.04500530815328386
ENSG00000125355,TMEM255A,0.04484215935411248,0.04484215935411248
ENSG00000137936,BCAR3,0.04463587195800674,0.04463587195800674
ENSG00000179476,C14orf28,0.0446326757631931,0.0446326757631931
ENSG00000115361,ACADL,0.04432860043336535,0.04432860043336535
ENSG00000203685,STUM,0.044324427673392175,0.044324427673392175
ENSG00000121671,CRY2,0.043891607102591386,0.043891607102591386
ENSG00000180769,WDFY3-AS2,0.043624546707146175,0.043624546707146175
ENSG00000178947,SMIM10L2A,0.04341828406145605,0.04341828406145605
ENSG00000189182,KRT77,0.04339058318958366,0.04339058318958366
ENSG00000121104,FAM117A,0.04297547392615576,0.04297547392615576
ENSG00000168671,UGT3A2,0.042942761265471745,0.042942761265471745
ENSG00000198169,ZNF251,0.04279417465837688,0.04279417465837688
ENSG00000215717,TMEM167B,0.04265178154162307,0.04265178154162307
ENSG00000196724,ZNF418,0.04248949708934913,0.04248949708934913
ENSG00000095203,EPB41L4B,0.042255132217327955,0.042255132217327955
ENSG00000188283,ZNF383,0.04221532105924705,0.04221532105924705
ENSG00000164176,EDIL3,0.04130341668291134,0.04130341668291134
ENSG00000139364,TMEM132B,0.041179100882355255,0.041179100882355255
ENSG00000196972,SMIM10L2B,0.0411509076614466,0.0411509076614466
ENSG00000248360,LINC00504,0.041097908367520176,0.041097908367520176
ENSG00000184903,IMMP2L,0.040961676242975906,0.040961676242975906
ENSG00000128573,FOXP2,0.04092495643867881,0.04092495643867881
ENSG00000121413,ZSCAN18,0.040756180641537375,0.040756180641537375
ENSG00000260686,ENSG00000260686,0.04055288828992549,0.04055288828992549
ENSG00000004139,SARM1,0.040466465521552815,0.040466465521552815
ENSG00000196557,CACNA1H,0.040437739325007833,0.040437739325007833
ENSG00000163785,RYK,0.04036856415834632,0.04036856415834632
ENSG00000110092,CCND1,0.040076655590975195,0.040076655590975195
ENSG00000131067,GGT7,0.04000546868654287,0.04000546868654287
ENSG00000198932,GPRASP1,0.03990702314270087,0.03990702314270087
ENSG00000139946,PELI2,0.039856756247374045,0.039856756247374045
ENSG00000104450,SPAG1,0.039812226866282024,0.039812226866282024
ENSG00000126016,AMOT,0.03978196421910012,0.03978196421910012
ENSG00000077264,PAK3,0.03949577671692242,0.03949577671692242
ENSG00000188732,FAM221A,0.03920402403543243,0.03920402403543243
ENSG00000253958,CLDN23,0.03616155599613323,0.03616155599613323
ENSG00000060656,PTPRU,0.034844814815060965,0.034844814815060965
