"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050863","regulation of T cell activation","25/60","376/18903",3.6308389834372e-27,4.24808161062152e-24,2.60656019653071e-24,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CD2/CR1/IDO1/TNFRSF9",25
"GO:0007159","leukocyte cell-cell adhesion","25/60","414/18903",4.06000144554712e-26,2.37510084564507e-23,1.45732683466481e-23,"SELL/IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/ITGAL/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1",25
"GO:0070661","leukocyte proliferation","23/60","348/18903",7.59811403733552e-25,2.38648776213696e-22,1.46431367861215e-22,"SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",23
"GO:0050867","positive regulation of cell activation","25/60","467/18903",8.15893252012637e-25,2.38648776213696e-22,1.46431367861215e-22,"IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/PLEK/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CD2/CR1/CD226",25
"GO:0046651","lymphocyte proliferation","22/60","305/18903",1.41827590633672e-24,3.31876562082792e-22,2.0363456170982e-22,"SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",22
"GO:0032943","mononuclear cell proliferation","22/60","312/18903",2.34622163372397e-24,4.57513218576173e-22,2.8072336038592e-22,"SH2D2A/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",22
"GO:0070663","regulation of leukocyte proliferation","21/60","269/18903",3.65543723564255e-24,6.10980223671683e-22,3.74888450332063e-22,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CSF2RB/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",21
"GO:1903037","regulation of leukocyte cell-cell adhesion","23/60","377/18903",4.80302091184274e-24,7.02441808357001e-22,4.31007929194309e-22,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1",23
"GO:0002696","positive regulation of leukocyte activation","24/60","450/18903",9.7728447553121e-24,1.27046981819057e-21,7.7954153486817e-22,"IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CD2/CR1/CD226",24
"GO:0050670","regulation of lymphocyte proliferation","20/60","239/18903",1.30625232836106e-23,1.52831522418244e-21,9.37751671518153e-22,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",20
"GO:0032944","regulation of mononuclear cell proliferation","20/60","243/18903",1.83088128576733e-23,1.94739191304343e-21,1.19489094439552e-21,"PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",20
"GO:0042098","T cell proliferation","19/60","212/18903",5.32228948712871e-23,5.18923224995049e-21,3.18403634229981e-21,"SH2D2A/PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/TNFRSF4/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",19
"GO:0051251","positive regulation of lymphocyte activation","22/60","400/18903",5.53660802606241e-22,4.98294722345617e-20,3.05746289374459e-20,"IL4R/PRKCQ/JAK3/GPR183/FCGR3A/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/TNFRSF4/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1",22
"GO:0050870","positive regulation of T cell activation","19/60","251/18903",1.38595037627829e-21,1.15825852874686e-19,7.10690343324657e-20,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1",19
"GO:0022407","regulation of cell-cell adhesion","23/60","490/18903",1.88696682170693e-21,1.4718341209314e-19,9.0309569993272e-20,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/CTLA4/THY1/IL7R/IL4I1/ICOS/SLAMF1/TIGIT/LGALS9C/PTPRC/CARD11/CD27/CD6/CR1/IDO1",23
"GO:0002449","lymphocyte mediated immunity","21/60","367/18903",2.54501581612824e-21,1.86104281554378e-19,1.14190841223649e-19,"IL4R/SLAMF7/FCGR3A/SASH3/SERPINB9/CD28/CSF2RB/GZMB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/SH2D1A/CD2/CR1/CD226/CD1B",21
"GO:0042129","regulation of T cell proliferation","17/60","182/18903",6.6323010306867e-21,4.56458365053144e-19,2.8007611782838e-19,"PRKCQ/JAK3/SASH3/CD274/CD28/IL12RB1/IL2RA/CTLA4/IL4I1/SLAMF1/LGALS9C/PTPRC/CARD11/CD6/CR1/IDO1/TNFRSF9",17
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","19/60","275/18903",7.95447467783134e-21,5.17040854059037e-19,3.17248639197718e-19,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1",19
"GO:0002443","leukocyte mediated immunity","22/60","463/18903",1.32514066171592e-20,8.16007670635595e-19,5.00690266642803e-19,"IL4R/SLAMF7/JAK3/FCGR3A/SASH3/SERPINB9/CD28/CSF2RB/GZMB/IL21R/IL12RB1/IL7R/IL4I1/SLAMF1/PTPRC/CD27/IL13RA2/SH2D1A/CD2/CR1/CD226/CD1B",22
"GO:0030217","T cell differentiation","19/60","296/18903",3.22703703886168e-20,1.88781666773408e-18,1.15833645289667e-18,"IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D",19
"GO:0022409","positive regulation of cell-cell adhesion","19/60","322/18903",1.58857345454592e-19,8.85062353247012e-18,5.43061201002665e-18,"IL4R/PRKCQ/JAK3/SASH3/CD274/CD28/CD5/IL12RB1/IL2RA/THY1/IL7R/IL4I1/ICOS/SLAMF1/PTPRC/CARD11/CD27/CD6/CR1",19
"GO:1903131","mononuclear cell differentiation","21/60","473/18903",4.8398066813801e-19,2.57389718964305e-17,1.57930533813456e-17,"IL4R/JAK3/GPR183/SASH3/CD28/IL12RB1/IL2RA/CTLA4/IL7R/IL4I1/SLAMF1/BATF3/PTPRC/CARD11/CD27/LEPR/CD2/CR1/ITK/TNFRSF9/CD3D",21
