"module","gene"
"7","SRGN"
"7","SH2D2A"
"7","SELL"
"7","IL4R"
"7","SLAMF7"
"7","KYNU"
"7","PRKCQ"
"7","ITGAX"
"7","JAK3"
"7","SOCS3"
"7","GPR183"
"7","SIGLEC9"
"7","FCGR3A"
"7","SASH3"
"7","CD274"
"7","CD7"
"7","SERPINB9"
"7","PLEK"
"7","CD53"
"7","CD28"
"7","CD5"
"7","CSF2RB"
"7","RGS1"
"7","FCGR2A"
"7","GZMB"
"7","IL21R"
"7","IL12RB1"
"7","IL2RA"
"7","CTLA4"
"7","THY1"
"7","IL7R"
"7","ITGAL"
"7","IL4I1"
"7","TNFRSF4"
"7","ICOS"
"7","SLAMF1"
"7","BATF3"
"7","TIGIT"
"7","LGALS9C"
"7","PTPRC"
"7","CARD11"
"7","CD247"
"7","CD27"
"7","IL13RA2"
"7","SH2D1A"
"7","LEPR"
"7","MATK"
"7","CD6"
"7","CD2"
"7","CR1"
"7","CD226"
"7","CSF3R"
"7","PDCD1"
"7","ITK"
"7","IDO1"
"7","TNFRSF9"
"7","CD3D"
"7","CD69"
"7","GNLY"
"7","CD1B"
"2","MMP1"
"2","TCN1"
"2","BTC"
"2","MMP9"
"2","FSCN1"
"2","PLAUR"
"2","COL4A1"
"2","COL15A1"
"2","EPGN"
"2","SERPINE1"
"2","PLA2G4D"
"2","HBEGF"
"2","PGF"
"2","LRP8"
"2","LYZ"
"2","COL4A4"
"2","AREG"
"2","ANGPTL4"
"2","PTGS2"
"2","PLA2G2A"
"2","MMP25"
"2","THBS1"
"2","TEX101"
"2","PLAT"
"2","LTF"
"2","ALOX15"
"2","ERBB4"
"2","LCN2"
"2","SPP1"
"8","FPR1"
"8","OASL"
"8","CGAS"
"8","TREM1"
"8","IL36G"
"8","IL1RL1"
"8","CLEC7A"
"8","C5AR1"
"8","OAS2"
"8","NLRC4"
"8","TREML2"
"8","AIM2"
"8","MEFV"
"8","IL18RAP"
"8","AQP9"
"8","IL37"
"8","IL1B"
"8","EPSTI1"
"8","ZBP1"
"8","SIRPG"
"8","MX1"
"8","IFI27"
"8","MMP12"
"8","SAA1"
"8","TREM2"
"1","KRT6C"
"1","KRT16"
"1","PI3"
"1","KRT6A"
"1","DSC2"
"1","SPRR1B"
"1","KRT6B"
"1","IVL"
"1","DSG3"
"1","SPRR2A"
"1","LCE3E"
"1","SPRR1A"
"1","CNFN"
"1","LCE5A"
"1","SPRR2F"
"1","LCE3D"
"1","LCE3A"
"1","SPRR2D"
"1","KRT17"
"1","SPRR2B"
"1","KLK6"
"11","CXCR1"
"11","CCR7"
"11","CCR1"
"11","CCR5"
"11","CXCR3"
"11","CCL2"
"11","GBP5"
"11","CCR2"
"11","CCL19"
"11","CCR4"
"11","CXCR6"
"11","LTB"
"11","CCL17"
"11","CCL5"
"11","ACKR2"
"11","CCL22"
"11","CCL18"
"11","CXCL9"
"11","CXCL10"
"6","S100A12"
"6","S100A2"
"6","S100A9"
"6","S100A8"
"6","SERPINB3"
"6","FABP5"
"6","CTSL"
"6","S100A7A"
"6","DEFB4A"
"6","CTSC"
"6","SERPINB4"
"6","SERPINB13"
"6","CST7"
"6","S100A7"
"3","SELE"
"3","SELP"
"3","FCN1"
"3","FGFBP1"
"3","PTX3"
"3","FGF10"
"10","LILRB3"
"10","LILRB1"
"10","LILRB2"
"10","ULBP2"
"10","CD300C"
"10","MAP1LC3C"
"12","CDC25A"
"12","TICRR"
"12","RRM2"
"12","MCM10"
"12","ERCC6L"
"12","MYBL2"
"4","GJB2"
"4","GJB6"
"4","SLC4A8"
"4","FOXE1"
"4","SLC26A4"
"15","CYP19A1"
"15","ALDH1A3"
"15","HSD11B1"
"15","UGT1A7"
"15","CYP1A1"
"5","FOSL1"
"5","NR4A3"
"5","FOSB"
"9","UPP1"
"9","PNP"
"9","TYMP"
"13","AKR1B10"
"13","ADM2"
"13","HK3"
"14","IKZF3"
"14","POU2AF1"
"14","JCHAIN"
"16","WIF1"
"16","SFRP5"
"16","DKK1"
