"STRING_id","gene","module","deg","lfc","padj"
"9606.ENSP00000306461","SPRR1B","1",13,1.78630447067058,7.67468510165539e-21
"9606.ENSP00000357776","LCE3D","1",11,1.68794954865472,6.7787520234168e-11
"9606.ENSP00000357751","SPRR1A","1",10,1.72368882668029,1.73237528304918e-13
"9606.ENSP00000357753","IVL","1",9,1.19389046806084,9.24513270343351e-18
"9606.ENSP00000376423","SPRR2A","1",9,3.00548785111653,1.01828392286129e-15
"9606.ENSP00000357746","SPRR2D","1",9,1.47763239946588,2.7503470442744e-09
"9606.ENSP00000357744","SPRR2B","1",9,1.79770993596767,1.97400374770305e-07
"9606.ENSP00000418193","SPRR2F","1",8,3.21183403134097,1.66040594506769e-11
"9606.ENSP00000357778","LCE3E","1",7,1.94090916652276,7.76835230845142e-14
"9606.ENSP00000369317","KRT6A","1",6,3.20087500068339,6.35105047905873e-23
"9606.ENSP00000252252","KRT6B","1",6,2.7040378631385,5.11526422573644e-19
"9606.ENSP00000243924","PI3","1",5,3.91961621663986,5.14290703340056e-27
"9606.ENSP00000257189","DSG3","1",5,1.10305878765466,3.09065398441697e-16
"9606.ENSP00000335006","LCE3A","1",5,2.6213618606037,3.84298615905492e-10
"9606.ENSP00000301653","KRT16","1",4,3.78011468870057,1.14009102565824e-29
"9606.ENSP00000333952","LCE5A","1",4,-1.91504533737104,5.73954751395988e-13
"9606.ENSP00000308452","KRT17","1",3,1.81616470035663,1.43473159431257e-08
"9606.ENSP00000252250","KRT6C","1",2,6.10044384274456,5.00103721358603e-49
"9606.ENSP00000222032","CNFN","1",2,1.12218227543314,5.63404453892389e-13
"9606.ENSP00000280904","DSC2","1",1,1.75672893673456,5.78752265619192e-22
"9606.ENSP00000366047","KLK6","1",1,1.33180442583921,2.88764417144563e-05
"9606.ENSP00000361405","MMP9","2",20,2.17856098116894,3.62186521648416e-23
"9606.ENSP00000223095","SERPINE1","2",9,1.73009242120984,7.63321814088838e-19
"9606.ENSP00000356438","PTGS2","2",9,1.8426768799335,6.73559976654477e-12
"9606.ENSP00000230990","HBEGF","2",7,1.56912095411416,2.67923254126236e-18
"9606.ENSP00000231751","LTF","2",7,2.18989598915774,7.83046363253254e-08
"9606.ENSP00000362108","LCN2","2",7,1.14566078601603,1.68663694122975e-06
"9606.ENSP00000322788","MMP1","2",6,6.29972124205095,4.80960112951184e-40
"9606.ENSP00000260356","THBS1","2",6,1.46929997373602,3.97633515164255e-11
"9606.ENSP00000342235","ERBB4","2",6,-1.10945395496114,6.00373099920886e-07
"9606.ENSP00000378517","SPP1","2",6,1.62430715846444,0.0373983052693182
"9606.ENSP00000379097","AREG","2",5,1.28362110397005,7.14504543764206e-15
"9606.ENSP00000379092","BTC","2",4,-2.53575090128738,3.10080964511005e-23
"9606.ENSP00000339328","PLAUR","2",4,1.38642025525061,5.62406720766316e-23
"9606.ENSP00000411898","EPGN","2",4,2.81746168210884,7.00548819213546e-20
"9606.ENSP00000220809","PLAT","2",4,1.18787573334974,5.61807240267606e-09
"9606.ENSP00000364979","COL4A1","2",3,1.37361291263155,2.18338430302639e-21
"9606.ENSP00000451040","PGF","2",3,1.3532330509519,1.52649414512111e-17
"9606.ENSP00000293761","ALOX15","2",3,1.405769879454,5.84073768098588e-07
"9606.ENSP00000257264","TCN1","2",2,3.799944739711,4.57012117708175e-27
"9606.ENSP00000364140","COL15A1","2",2,1.39678782564251,1.36643414527202e-20
"9606.ENSP00000301455","ANGPTL4","2",2,1.23522364764289,3.13580113090778e-12
"9606.ENSP00000383364","PLA2G2A","2",2,1.94170559976204,1.23446667458087e-11
"9606.ENSP00000371798","FSCN1","2",1,1.12809307783267,4.37268476306797e-23
"9606.ENSP00000290472","PLA2G4D","2",1,1.39288336561183,1.63344129610396e-18
"9606.ENSP00000303634","LRP8","2",1,1.27980088193744,9.10002823488452e-17
"9606.ENSP00000261267","LYZ","2",1,1.41681920337475,9.28819199845595e-16
"9606.ENSP00000379866","COL4A4","2",1,1.79629328899249,2.11094197411122e-15
"9606.ENSP00000337816","MMP25","2",1,1.29243212809313,1.28481057354791e-11
"9606.ENSP00000472308","TEX101","2",1,1.48373123165141,3.25202555366222e-09
"9606.ENSP00000263686","SELP","3",8,1.27690939420013,5.885755812224e-23
"9606.ENSP00000331736","SELE","3",6,2.81205348844471,2.59165608377086e-32
"9606.ENSP00000295927","PTX3","3",3,2.62820872700316,3.84759330939254e-08
"9606.ENSP00000264664","FGF10","3",3,1.10516928166165,3.19135604568482e-06
"9606.ENSP00000360871","FCN1","3",2,2.07207240320862,4.87953588850985e-19
"9606.ENSP00000371770","FGFBP1","3",1,1.22117453003181,8.94855610024658e-11
"9606.ENSP00000494017","SLC26A4","4",4,1.42322085771964,7.7247277823285e-08
"9606.ENSP00000372295","GJB2","4",2,2.38971283087446,1.39824611809189e-31
"9606.ENSP00000494468","GJB6","4",2,1.43401011572303,2.07631748604433e-18
"9606.ENSP00000405812","SLC4A8","4",1,1.19337151199559,9.02424620030386e-15
"9606.ENSP00000364265","FOXE1","4",1,1.24003802163751,1.99191612312636e-08
"9606.ENSP00000245919","FOSB","5",2,1.60841407204992,1.0976495588357e-07
"9606.ENSP00000310170","FOSL1","5",1,3.07237480647567,2.96998759904709e-30
"9606.ENSP00000482027","NR4A3","5",1,2.21721045672837,3.36225950197688e-21
"9606.ENSP00000357711","S100A7","6",10,1.92267454133496,1.46185581486774e-10
"9606.ENSP00000357726","S100A12","6",5,3.96206331070835,3.07330569920397e-30
"9606.ENSP00000357721","S100A8","6",4,3.50056098920212,5.73659930147969e-20
"9606.ENSP00000357727","S100A9","6",3,3.22038253803693,2.34192441743427e-20
"9606.ENSP00000283752","SERPINB3","6",3,2.36777559307306,9.52217220328302e-20
"9606.ENSP00000303532","DEFB4A","6",3,3.87841093283277,1.45423826047972e-17
"9606.ENSP00000345344","CTSL","6",2,1.15351899270043,2.23784548624425e-19
"9606.ENSP00000227266","CTSC","6",2,1.1403784740447,1.51017728304467e-14
"9606.ENSP00000343445","SERPINB4","6",2,3.18316427586202,1.64172202452477e-13
"9606.ENSP00000269489","SERPINB13","6",2,1.16938441832061,1.78847064800834e-13
"9606.ENSP00000420384","CST7","6",2,1.37991451087766,3.3085459606466e-13
"9606.ENSP00000499289","S100A2","6",1,1.64017967642909,7.69892231705836e-21
"9606.ENSP00000297258","FABP5","6",1,1.58493962670846,1.39854077775358e-19
"9606.ENSP00000357718","S100A7A","6",1,3.95114110307466,3.03446748088882e-18
"9606.ENSP00000411355","PTPRC","7",35,1.14505038773181,3.3989451077019e-12
"9606.ENSP00000356946","FCGR3A","7",31,1.49496164974116,1.77386881286366e-18
"9606.ENSP00000324890","CD28","7",31,1.55485852629046,7.44863476770069e-16
"9606.ENSP00000497102","CTLA4","7",29,1.68252771976815,2.3846422821054e-14
"9606.ENSP00000358490","CD2","7",29,1.10402891017083,2.70063941348131e-10
"9606.ENSP00000216341","GZMB","7",28,2.26609081921847,1.34101725274978e-15
"9606.ENSP00000306157","IL7R","7",27,1.46196686448899,6.41675589020361e-14
"9606.ENSP00000454623","ITGAX","7",25,1.73201486687789,3.95443287254302e-21
"9606.ENSP00000498227","SELL","7",23,1.92076358206434,2.22254885631258e-24
"9606.ENSP00000319476","ICOS","7",23,1.6853072912918,3.50685636496153e-13
"9606.ENSP00000266557","CD27","7",23,1.43766504597028,2.46097839232986e-11
"9606.ENSP00000228434","CD69","7",22,1.17062897681663,1.72627818952818e-09
"9606.ENSP00000432511","JAK3","7",19,1.53952167984751,4.92633019308817e-21
"9606.ENSP00000370989","CD274","7",19,1.74046430753935,1.3858260482136e-17
"9606.ENSP00000354782","CD247","7",19,1.1448655902402,1.49395213035964e-11
"9606.ENSP00000342681","CD5","7",18,1.45919111236128,8.8088239194142e-16
"9606.ENSP00000369293","IL2RA","7",17,1.62640708988224,5.7923462595412e-15
"9606.ENSP00000335062","PDCD1","7",17,1.45244220884721,5.20522092417543e-10
"9606.ENSP00000478699","TNFRSF9","7",17,1.64630123296674,1.08131791852369e-09
"9606.ENSP00000419085","TIGIT","7",15,1.43279332732386,1.07465286182346e-12
"9606.ENSP00000430950","IDO1","7",15,1.34481227850798,7.72585078770904e-10
"9606.ENSP00000300692","CD3D","7",14,1.10392501705254,1.10727296490251e-09
